Kecamatan,Tanggal,Curah Hujan,Debit Air,Muka Air,Tinggi Banjir,Banjir Ya/Tidak
Dayeuhkolot,2020-06-16,-,16.55,3.67,-,0
Cipanas - Margamukti,2020-06-17,-,"1,34","0,35",-,0
Dayeuhkolot,2020-06-17,-,16.59,3.67,-,0
Cipanas - Margamukti,2020-06-18,13,"1,36","0,35",-,0
Dayeuhkolot,2020-06-18,-,15.77,3.6,-,0
Cipanas - Margamukti,2020-06-19,9,"1,3","0,34",-,0
Dayeuhkolot,2020-06-19,0.0,16.96,3.71,-,0
Cipanas - Margamukti,2020-06-20,-,"1,92","0,42",-,0
Dayeuhkolot,2020-06-20,-,18.3,3.83,-,0
Cipanas - Margamukti,2020-06-21,-,"1,94","0,42",-,0
Dayeuhkolot,2020-06-21,-,16.66,3.69,-,0
Cipanas - Margamukti,2020-06-22,25,"1,47","0,36",-,0
Dayeuhkolot,2020-06-22,0.0,17.03,3.73,-,0
Cipanas - Margamukti,2020-06-23,-,"1,27","0,33",-,0
Dayeuhkolot,2020-06-23,3.0,19.58,3.95,-,0
Cipanas - Margamukti,2020-06-24,-,"1,12","0,3",-,0
Dayeuhkolot,2020-06-24,-,17.62,3.78,-,0
Cipanas - Margamukti,2020-06-25,-,"0,88","0,25",-,0
Dayeuhkolot,2020-06-25,-,16.3,3.67,-,0
Cipanas - Margamukti,2020-06-26,-,"1,13","0,29",-,0
Dayeuhkolot,2020-06-26,-,15.58,3.61,-,0
Cipanas - Margamukti,2020-06-27,-,"0,65","0,2",-,0
Dayeuhkolot,2020-06-27,-,14.85,3.53,-,0
Cipanas - Margamukti,2020-06-28,-,"0,64","0,2",-,0
Dayeuhkolot,2020-06-28,-,14.75,3.53,-,0
Cipanas - Margamukti,2020-06-29,-,"0,38","0,12",-,0
Dayeuhkolot,2020-06-29,-,14.55,3.51,-,0
Cipanas - Margamukti,2020-06-30,-,"0,66","0,17",-,0
Dayeuhkolot,2020-06-30,-,13.37,3.4,-,0
Cisondari-Pasir Jambu,2020-07-01,-,"7,1","0,71",-,0
Dayeuhkolot,2020-07-01,-,13.27,3.39,-,0
Cisondari-Pasir Jambu,2020-07-02,2,"7,11","1,19",-,0
Dayeuhkolot,2020-07-02,-,13.72,3.44,-,0
Cisondari-Pasir Jambu,2020-07-03,"1,5","6,67","0,79",-,0
Dayeuhkolot,2020-07-03,3.0,18.32,3.87,-,0
Cisondari-Pasir Jambu,2020-07-04,"1,5","5,8","0,55",-,0
Dayeuhkolot,2020-07-04,-,15.47,3.61,-,0
Cisondari-Pasir Jambu,2020-07-05,-,"6,82","0,46",-,0
Dayeuhkolot,2020-07-05,-,13.35,3.4,-,0
Cisondari-Pasir Jambu,2020-07-06,-,"7,4","0,36",-,0
Dayeuhkolot,2020-07-06,-,13.62,3.44,-,0
Cisondari-Pasir Jambu,2020-07-07,"5,5","6,82","0,34",-,0
Dayeuhkolot,2020-07-07,3.0,14.46,3.53,-,0
Cisondari-Pasir Jambu,2020-07-08,-,"6,28","0,61",-,0
Dayeuhkolot,2020-07-08,-,13.56,3.44,-,0
Cisondari-Pasir Jambu,2020-07-09,-,"5,83","0,53",-,0
Dayeuhkolot,2020-07-09,-,13.15,3.4,-,0
Cisondari-Pasir Jambu,2020-07-10,-,"5,35","0,66",-,0
Dayeuhkolot,2020-07-10,-,13.15,3.4,-,0
Cisondari-Pasir Jambu,2020-07-11,-,"5,11","0,44",-,0
Dayeuhkolot,2020-07-11,-,13.04,3.39,-,0
Cisondari-Pasir Jambu,2020-07-12,-,"5,85","0,5",-,0
Dayeuhkolot,2020-07-12,-,12.14,3.3,-,0
Cisondari-Pasir Jambu,2020-07-13,-,"6,15","0,67",-,0
Dayeuhkolot,2020-07-13,-,11.98,3.28,-,0
Cisondari-Pasir Jambu,2020-07-14,-,"5,58","0,88",-,0
Dayeuhkolot,2020-07-14,-,11.82,3.27,-,0
Cisondari-Pasir Jambu,2020-07-15,-,"5,17","0,72",-,0
Dayeuhkolot,2020-07-15,0.0,11.62,3.25,-,0
Cisondari-Pasir Jambu,2020-07-16,-,"4,48","0,6",-,0
Dayeuhkolot,2020-07-16,-,11.78,3.27,-,0
Cisondari-Pasir Jambu,2020-07-17,-,"4,1","0,43",-,0
Dayeuhkolot,2020-07-17,-,11.91,3.29,-,0
Cisondari-Pasir Jambu,2020-07-18,0,"3,91","0,32",-,0
Dayeuhkolot,2020-07-18,-,11.56,3.25,-,0
Cisondari-Pasir Jambu,2020-07-19,-,"4,17","0,5",-,0
Dayeuhkolot,2020-07-19,-,11.36,3.23,-,0
Cisondari-Pasir Jambu,2020-07-20,-,"4,46","0,61",-,0
Dayeuhkolot,2020-07-20,28.5,12.24,3.33,-,0
Cisondari-Pasir Jambu,2020-07-21,5,"3,86","0,54",-,0
Dayeuhkolot,2020-07-21,-,11.68,3.27,-,0
Cisondari-Pasir Jambu,2020-07-22,-,"3,11","0,58",-,0
Dayeuhkolot,2020-07-22,-,13.16,3.43,-,0
Cisondari-Pasir Jambu,2020-07-23,-,"3,02","0,48",-,0
Dayeuhkolot,2020-07-23,-,12.03,3.31,-,0
Cisondari-Pasir Jambu,2020-07-24,-,"2,8","0,45",-,0
Dayeuhkolot,2020-07-24,-,11.65,3.28,-,0
Cisondari-Pasir Jambu,2020-07-25,-,"3,11","0,66",-,0
Dayeuhkolot,2020-07-25,-,11.21,3.23,-,0
Cisondari-Pasir Jambu,2020-07-26,-,"3,23","0,93",-,0
Dayeuhkolot,2020-07-26,-,12.77,3.39,-,0
Cisondari-Pasir Jambu,2020-07-27,-,"2,89","0,56",-,0
Dayeuhkolot,2020-07-27,-,18.33,3.8,-,0
Cisondari-Pasir Jambu,2020-07-28,-,"2,68","0,64",-,0
Dayeuhkolot,2020-07-28,-,10.54,3.16,-,0
Cisondari-Pasir Jambu,2020-07-29,-,"2,74","0,42",-,0
Dayeuhkolot,2020-07-29,-,9.97,3.09,-,0
Cisondari-Pasir Jambu,2020-07-30,-,"2,56","0,28",-,0
Dayeuhkolot,2020-07-30,-,10.09,3.11,-,0
Cisondari-Pasir Jambu,2020-07-31,-,"2,44","0,69",-,0
Dayeuhkolot,2020-07-31,-,10.05,3.11,-,0
Cisondari-Pasir Jambu,2020-08-01,-,"2,32","0,54",-,0
Dayeuhkolot,2020-08-01,-,9.91,3.09,-,0
Cisondari-Pasir Jambu,2020-08-02,-,"2,45","0,53",-,0
Dayeuhkolot,2020-08-02,-,9.91,3.1,-,0
Cisondari-Pasir Jambu,2020-08-03,-,"2,63","0,51",-,0
Dayeuhkolot,2020-08-03,-,10,3.11,-,0
Cisondari-Pasir Jambu,2020-08-04,-,"2,38","0,48",-,0
Dayeuhkolot,2020-08-04,-,10.13,3.13,-,0
Cisondari-Pasir Jambu,2020-08-05,"5,5","2,25","0,49",-,0
Dayeuhkolot,2020-08-05,5.0,12.63,3.4,-,0
Cisondari-Pasir Jambu,2020-08-06,-,"2,49","0,6",-,0
Dayeuhkolot,2020-08-06,7.5,11.78,3.31,-,0
Cisondari-Pasir Jambu,2020-08-07,-,"2,8","0,92",-,0
Dayeuhkolot,2020-08-07,-,11.02,3.24,-,0
Cisondari-Pasir Jambu,2020-08-08,-,"2,42","0,51",-,0
Dayeuhkolot,2020-08-08,-,12.5,3.41,-,0
Cisondari-Pasir Jambu,2020-08-09,-,"1,96","0,57",-,0
Dayeuhkolot,2020-08-09,-,10.88,3.23,-,0
Cisondari-Pasir Jambu,2020-08-10,-,"1,83","0,44",-,0
Dayeuhkolot,2020-08-10,7.5,10.61,3.2,-,0
Cisondari-Pasir Jambu,2020-08-11,-,"4,18","0,27",-,0
Dayeuhkolot,2020-08-11,-,10.25,3.16,-,0
Cisondari-Pasir Jambu,2020-08-12,0,"6,65","0,61",-,0
Dayeuhkolot,2020-08-12,1.0,10.69,3.22,-,0
Cisondari-Pasir Jambu,2020-08-13,-,"4,84","0,56",-,0
Dayeuhkolot,2020-08-13,-,11.87,3.36,-,0
Cisondari-Pasir Jambu,2020-08-14,-,"4,47","0,51",-,0
Dayeuhkolot,2020-08-14,1.5,13.53,3.53,-,0
Cisondari-Pasir Jambu,2020-08-15,"4,5","3,94","0,47",-,0
Dayeuhkolot,2020-08-15,6.5,13.33,3.51,-,0
Cisondari-Pasir Jambu,2020-08-16,-,"2,69","0,5",-,0
Dayeuhkolot,2020-08-16,3.5,12.5,3.43,-,0
Cisondari-Pasir Jambu,2020-08-17,-,"2,16","0,52",-,0
Dayeuhkolot,2020-08-17,-,11.48,3.32,-,0
Cisondari-Pasir Jambu,2020-08-18,-,"1,75","0,5",-,0
Dayeuhkolot,2020-08-18,-,10.77,3.24,-,0
