Kecamatan,Tanggal,Curah Hujan,Debit Air,Muka Air,Tinggi Banjir,Banjir Ya/Tidak
Dayeuhkolot,2022-12-31,8,77,4.69,-,0
Hantap,2023-11-01,11,"3,46","0,32",-,0
Dayeuhkolot,2023-11-01,-,27.27,3.17,-,0
Hantap,2023-11-02,2,"3,63","0,33",-,0
Dayeuhkolot,2023-11-02,-,28.07,3.23,-,0
Hantap,2023-11-03,1,"3,77","0,34",-,0
Dayeuhkolot,2023-11-03,1,27.99,3.22,-,0
Hantap,2023-11-04,"9,5","4,47","0,39",-,0
Dayeuhkolot,2023-11-04,-,32.11,3.5,-,0
Hantap,2023-11-05,1,"4,14","0,36",-,0
Dayeuhkolot,2023-11-05,-,29.37,3.31,-,0
Hantap,2023-11-06,0,"4,23","0,37",-,0
Dayeuhkolot,2023-11-06,-,28.47,3.25,-,0
Hantap,2023-11-07,-,"3,7","0,32",-,0
Dayeuhkolot,2023-11-07,-,28.21,3.23,-,0
Hantap,2023-11-08,-,"3,73","0,33",-,0
Dayeuhkolot,2023-11-08,0,27.45,3.18,-,0
Hantap,2023-11-09,-,"3,85","0,33",-,0
Dayeuhkolot,2023-11-09,-,27.4,3.18,-,0
Hantap,2023-11-10,-,"3,62","0,31",-,0
Dayeuhkolot,2023-11-10,-,26.83,3.13,-,0
Hantap,2023-11-11,57,"3,92","0,34",-,0
Dayeuhkolot,2023-11-11,5,29.59,3.33,-,0
Hantap,2023-11-12,9,"6,62","0,52",-,0
Dayeuhkolot,2023-11-12,15,34.32,3.63,-,0
Hantap,2023-11-13,-,"5,01","0,4",-,0
Dayeuhkolot,2023-11-13,0.5,32.84,3.54,-,0
Hantap,2023-11-14,"65,5","5,63","0,45",-,0
Dayeuhkolot,2023-11-14,34,32.34,3.51,-,0
Hantap,2023-11-15,"45,5","6,83","0,52",-,0
Dayeuhkolot,2023-11-15,-,36.22,3.76,-,0
Hantap,2023-11-16,13,"8,16","0,59",-,0
Dayeuhkolot,2023-11-16,19,37.85,3.85,-,0
Hantap,2023-11-17,-,"7,6","0,56",-,0
Dayeuhkolot,2023-11-17,22,41.27,4.04,-,0
Hantap,2023-11-18,-,"5,79","0,45",-,0
Dayeuhkolot,2023-11-18,1,35.6,3.7,-,0
Hantap,2023-11-19,-,"5,31","0,42",-,0
Dayeuhkolot,2023-11-19,-,33.19,3.56,-,0
Hantap,2023-11-20,0,"5,27","0,41",-,0
Dayeuhkolot,2023-11-20,-,30.9,3.41,-,0
Hantap,2023-11-21,"13,5","4,45","0,35",-,0
Dayeuhkolot,2023-11-21,3.5,29.71,3.33,-,0
Hantap,2023-11-22,"3,5","4,5","0,35",-,0
Dayeuhkolot,2023-11-22,2,30.41,3.39,-,0
Hantap,2023-11-23,-,"4,83","0,38",-,0
Dayeuhkolot,2023-11-23,1,30.86,3.41,-,0
Hantap,2023-11-24,6,"4,79","0,37",-,0
Dayeuhkolot,2023-11-24,11,30.09,3.36,-,0
Hantap,2023-11-25,"3,5","6,28","0,46",-,0
Dayeuhkolot,2023-11-25,-,37.74,3.85,-,0
Hantap,2023-11-26,"53,5","6,09","0,45",-,0
Dayeuhkolot,2023-11-26,12,36.09,3.74,-,0
Hantap,2023-11-27,11,"7,23","0,52",-,0
Dayeuhkolot,2023-11-27,30.5,46.52,4.33,-,0
Hantap,2023-11-28,0,"6,08","0,45",-,0
Dayeuhkolot,2023-11-28,26,54.09,4.71,-,0
Hantap,2023-11-29,"16,5","5,56","0,85",-,0
Dayeuhkolot,2023-11-29,-,39.93,3.94,-,0
Hantap,2023-11-30,"26,5","13,14","0,81",-,0
Dayeuhkolot,2023-11-30,21,40.34,3.97,-,0
Hantap,2023-12-01,3,"11,74","0,75",-,0
Dayeuhkolot,2023-12-01,7.5,93.54,6.31,-,0
Hantap,2023-12-02,0,"7,57","0,53",-,0
Dayeuhkolot,2023-12-02,1,61.84,5.15,-,0
Hantap,2023-12-03,"8,5","7,23","0,52",-,0
Dayeuhkolot,2023-12-03,21,42.14,4.38,-,0
Hantap,2023-12-04,48,"9,29","0,63",-,0
Dayeuhkolot,2023-12-04,2.5,43.43,4.59,-,0
Hantap,2023-12-05,50,"17,96","0,97",-,0
Dayeuhkolot,2023-12-05,66,45.03,4.63,-,0
Hantap,2023-12-06,78,"21,09","1,09",-,0
Dayeuhkolot,2023-12-06,8.5,43.86,4.52,-,0
Hantap,2023-12-07,-,"12,02","0,73",-,0
Dayeuhkolot,2023-12-07,-,49.09,4.73,-,0
Hantap,2023-12-08,53,"14,44","0,85",-,0
Dayeuhkolot,2023-12-08,19,43.16,4.38,-,0
Hantap,2023-12-09,19,"13,41","0,81",-,0
Dayeuhkolot,2023-12-09,3,53.93,4.87,-,0
Hantap,2023-12-10,-,"11,26","0,71",-,0
Dayeuhkolot,2023-12-10,4.5,49.31,4.58,-,0
Hantap,2023-12-11,56,"25,79","1,17",-,0
Dayeuhkolot,2023-12-11,-,49.85,4.56,-,0
Hantap,2023-12-12,-,"13,02","0,74",-,0
Dayeuhkolot,2023-12-12,-,56.98,4.85,-,0
Hantap,2023-12-13,-,8,"0,56",-,0
Dayeuhkolot,2023-12-13,-,45.23,4.21,-,0
Hantap,2023-12-14,3,"7,64","0,54",-,0
Dayeuhkolot,2023-12-14,-,42.62,4.02,-,0
Hantap,2023-12-15,-,"6,6","0,48",-,0
Dayeuhkolot,2023-12-15,-,42.67,3.97,-,0
Hantap,2023-12-16,-,"6,59","0,48",-,0
Dayeuhkolot,2023-12-16,58,39.52,3.74,-,0
Hantap,2023-12-17,"26,5","6,55","0,47",-,0
Dayeuhkolot,2023-12-17,-,45.4,4.02,-,0
Hantap,2023-12-18,-,"8,06","0,56",-,0
Dayeuhkolot,2023-12-18,9.5,45.89,3.98,-,0
Hantap,2023-12-19,-,"6,63","0,48",-,0
Dayeuhkolot,2023-12-19,-,45.02,3.88,-,0
